date;virus;strain;treatment;material;temperature;humidity;time;dilution;replicate;virus_detect;plate;well_row;well_col;comment
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;1;1;UV;A;1;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;1;1;UV;A;2;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;1;1;UV;A;3;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;1;1;UV;A;4;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;2;1;UV;A;5;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;2;1;UV;A;6;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;2;1;UV;A;7;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;2;1;UV;A;8;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;3;1;UV;A;9;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;3;1;UV;A;10;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;3;1;UV;A;11;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;0;3;1;UV;A;12;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;1;1;UV;B;1;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;1;1;UV;B;2;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;1;1;UV;B;3;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;1;1;UV;B;4;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;2;1;UV;B;5;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;2;1;UV;B;6;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;2;1;UV;B;7;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;2;1;UV;B;8;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;3;1;UV;B;9;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;3;1;UV;B;10;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;3;1;UV;B;11;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-1;3;1;UV;B;12;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;1;1;UV;C;1;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;1;1;UV;C;2;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;1;1;UV;C;3;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;1;1;UV;C;4;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;2;1;UV;C;5;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;2;1;UV;C;6;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;2;1;UV;C;7;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;2;1;UV;C;8;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;3;1;UV;C;9;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;3;1;UV;C;10;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;3;1;UV;C;11;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-2;3;1;UV;C;12;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-3;1;0;UV;D;1;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-3;1;1;UV;D;2;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-3;1;1;UV;D;3;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-3;1;1;UV;D;4;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
2020-04-06;SARS-CoV-2;SARS-CoV-2;UV;N95 mask;NA;NA;0;-3;2;1;UV;D;5;temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor
